rank,fitness,fitness_pct,prompt_length,prompt
1,0.900000,90.00%,239,"You are a news program classification Classify the following Holy Scripture headline into one of these these four categories: World, Sports, Business, Sci/Tech. Respond with ONLY the category name, nothing else. Headline: {title} Category:"
2,0.850000,85.00%,229,"You are a news program classification Classify the following word headline into one of these these four categories: World, Sports, Business, Sci/Tech. Respond with ONLY the category name, nothing else. Headline: {title} Category:"
3,0.850000,85.00%,229,"You are a news program classification Classify the following word headline into one of these these four categories: World, Sports, Business, Sci/Tech. Respond with ONLY the category name, nothing else. Headline: {title} Category:"
4,0.850000,85.00%,229,"You are a news program classification Classify the following word headline into one of these these four categories: World, Sports, Business, Sci/Tech. Respond with ONLY the category name, nothing else. Headline: {title} Category:"
5,0.800000,80.00%,228,"You are a news classification expert. Classify the following news show headline into one of these four categories: World, Sports, Business, Sci/Tech. Respond with ONLY the category name, nothing else. Headline: {title} Category:"
6,0.800000,80.00%,229,"You are a news program classification Classify the following word headline into one of these these four categories: World, Sports, Business, Sci/Tech. Respond with ONLY the category name, nothing else. Headline: {title} Category:"
7,0.750000,75.00%,229,"You are a news classification expert. Classify the following word headline into one of these these four categories: World, Sports, Business, Sci/Tech. Respond with ONLY the category name, nothing else. Headline: {title} Category:"
8,0.750000,75.00%,229,"You are a news program classification Classify the following word headline into one of these these four categories: World, Sports, Business, Sci/Tech. Respond with ONLY the category name, nothing else. Headline: {title} Category:"
9,0.700000,70.00%,228,"You are a news program classification Classify the following news show headline into one of these four categories: World, Sports, Business, Sci/Tech. Respond with ONLY the category name, nothing else. Headline: {title} Category:"
10,0.700000,70.00%,222,"You are a news classification expert. Classify the following news show headline into one of four categories: World, Sports, Business, Sci/Tech. Respond with ONLY the category name, nothing else. Headline: {title} Category:"
